Date,Daily minimum temperatures,Year,Month,Day,Day of Week,Week of Year,Day of Year,Day Name,Season,Month_sin,Month_cos,DayofWeek_sin,DayofWeek_cos,Rolling Mean 7,Rolling Mean 30,Rolling Std 7,Rolling Std 30,Temp Diff 1d,Temp Diff 7d,Lag 1,Lag 2,Lag 3,Lag 7,Lag 14,Lag 30
1981-02-02,18.8,1981.0,2.0,2.0,0.0,6,33.0,Monday,Winter,0.87,0.5,0.0,1.0,16.67,17.37,1.81,2.76,3.5,0.1,15.3,15.4,15.1,18.7,17.7,18.8
1981-02-03,21.9,1981.0,2.0,3.0,1.0,6,34.0,Tuesday,Winter,0.87,0.5,0.78,0.62,17.03,17.61,2.54,2.83,3.1,2.5,18.8,15.3,15.4,19.4,15.5,14.6
1981-02-04,19.9,1981.0,2.0,4.0,2.0,6,35.0,Wednesday,Winter,0.87,0.5,0.97,-0.22,17.41,17.75,2.76,2.83,-2.0,2.7,21.9,18.8,15.3,17.2,18.2,15.8
1981-02-05,16.6,1981.0,2.0,5.0,3.0,6,36.0,Thursday,Winter,0.87,0.5,0.43,-0.9,17.57,17.78,2.66,2.82,-3.3,1.1,19.9,21.9,18.8,15.5,12.1,15.8
1981-02-06,16.8,1981.0,2.0,6.0,4.0,6,37.0,Friday,Winter,0.87,0.5,-0.43,-0.9,17.81,17.81,2.47,2.8,0.2,1.7,16.6,19.9,21.9,15.1,14.4,15.8
1981-02-07,14.6,1981.0,2.0,7.0,5.0,6,38.0,Saturday,Winter,0.87,0.5,-0.97,-0.22,17.7,17.72,2.62,2.86,-2.2,-0.8,16.8,16.6,19.9,15.4,16.0,17.4
1981-02-08,17.1,1981.0,2.0,8.0,6.0,6,39.0,Sunday,Winter,0.87,0.5,-0.78,0.62,17.96,17.56,2.42,2.76,2.5,1.8,14.6,16.8,16.6,15.3,16.5,21.8
1981-02-09,22.549999999999997,1981.0,2.0,9.0,0.0,7,40.0,Monday,Winter,0.87,0.5,0.0,1.0,18.49,17.64,2.99,2.87,5.45,3.75,17.1,14.6,16.8,18.8,18.7,20.0
1981-02-10,15.0,1981.0,2.0,10.0,1.0,7,41.0,Tuesday,Winter,0.87,0.5,0.78,0.62,17.51,17.61,2.81,2.9,-6.8,-6.9,22.549999999999997,17.1,14.6,21.9,19.4,16.2
1981-02-11,13.7,1981.0,2.0,11.0,2.0,7,42.0,Wednesday,Winter,0.87,0.5,0.97,-0.22,16.62,17.62,2.91,2.88,-1.3,-6.2,15.0,22.549999999999997,17.1,19.9,17.2,13.3
1981-02-12,13.9,1981.0,2.0,12.0,3.0,7,43.0,Thursday,Winter,0.87,0.5,0.43,-0.9,16.24,17.52,3.08,2.96,0.2,-2.7,13.7,15.0,22.549999999999997,16.6,15.5,16.7
1981-02-13,18.3,1981.0,2.0,13.0,4.0,7,44.0,Friday,Winter,0.87,0.5,-0.43,-0.9,16.45,17.42,3.18,2.86,4.4,1.5,13.9,13.7,15.0,16.8,15.1,21.5
1981-02-14,22.0,1981.0,2.0,14.0,5.0,7,45.0,Saturday,Winter,0.87,0.5,-0.97,-0.22,17.51,17.4,3.66,2.83,3.7,7.4,18.3,13.9,13.7,14.6,15.4,22.299999999999997
1981-02-15,22.1,1981.0,2.0,15.0,6.0,7,46.0,Sunday,Winter,0.87,0.5,-0.78,0.62,18.22,17.45,4.03,2.9,0.1,5.0,22.0,18.3,13.9,17.1,15.3,20.7
1981-02-16,21.2,1981.0,2.0,16.0,0.0,8,47.0,Monday,Winter,0.87,0.5,0.0,1.0,18.03,17.47,3.82,2.92,-0.9,-1.35,22.1,22.0,18.3,22.549999999999997,18.8,20.6
1981-02-17,18.4,1981.0,2.0,17.0,1.0,8,48.0,Tuesday,Winter,0.87,0.5,0.78,0.62,18.51,17.33,3.58,2.77,-2.8,3.4,21.2,22.1,22.0,15.0,21.9,22.299999999999997
1981-02-18,16.6,1981.0,2.0,18.0,2.0,8,49.0,Wednesday,Winter,0.87,0.5,0.97,-0.22,18.93,17.29,3.06,2.77,-1.8,2.9,18.4,21.2,22.1,13.7,19.9,17.7
1981-02-19,16.1,1981.0,2.0,19.0,3.0,8,50.0,Thursday,Winter,0.87,0.5,0.43,-0.9,19.24,17.31,2.52,2.76,-0.5,2.2,16.6,18.4,21.2,13.9,16.6,15.5
1981-02-20,15.7,1981.0,2.0,20.0,4.0,8,51.0,Friday,Winter,0.87,0.5,-0.43,-0.9,18.87,17.23,2.85,2.77,-0.4,-2.6,16.1,16.6,18.4,18.3,16.8,18.2
1981-02-21,16.6,1981.0,2.0,21.0,5.0,8,52.0,Saturday,Winter,0.87,0.5,-0.97,-0.22,18.1,17.38,2.58,2.6,0.9,-5.4,15.7,16.1,16.6,22.0,14.6,12.1
1981-02-22,16.5,1981.0,2.0,22.0,6.0,8,53.0,Sunday,Winter,0.87,0.5,-0.78,0.62,17.3,17.45,1.92,2.54,-0.1,-5.6,16.6,15.7,16.1,22.1,17.1,14.4
1981-02-23,14.4,1981.0,2.0,23.0,0.0,9,54.0,Monday,Winter,0.87,0.5,0.0,1.0,16.33,17.4,1.2,2.59,-2.1,-6.8,16.5,16.6,15.7,21.2,22.299999999999997,16.0
1981-02-24,14.4,1981.0,2.0,24.0,1.0,9,55.0,Tuesday,Winter,0.87,0.5,0.78,0.62,15.76,17.32,0.98,2.64,0.0,-4.0,14.4,16.5,16.6,18.4,15.0,16.5
1981-02-25,18.5,1981.0,2.0,25.0,2.0,9,56.0,Wednesday,Winter,0.87,0.5,0.97,-0.22,16.03,17.32,1.42,2.64,4.1,1.9,14.4,14.4,16.5,16.6,13.7,18.7
1981-02-26,16.9,1981.0,2.0,26.0,3.0,9,57.0,Thursday,Winter,0.87,0.5,0.43,-0.9,16.14,17.24,1.46,2.61,-1.6,0.8,18.5,14.4,14.4,16.1,13.9,19.4
1981-02-27,17.5,1981.0,2.0,27.0,4.0,9,58.0,Friday,Winter,0.87,0.5,-0.43,-0.9,16.4,17.24,1.52,2.61,0.6,1.8,16.9,18.5,14.4,15.7,18.3,17.2
1981-02-28,21.2,1981.0,2.0,28.0,5.0,9,59.0,Saturday,Winter,0.87,0.5,-0.97,-0.22,17.06,17.43,2.38,2.69,3.7,4.6,17.5,16.9,18.5,16.6,22.0,15.5
1981-03-01,17.8,1981.0,3.0,1.0,6.0,9,60.0,Sunday,Spring,1.0,0.0,-0.78,0.62,17.24,17.52,2.38,2.65,-3.4,1.3,21.2,17.5,16.9,16.5,22.1,15.1
1981-03-02,18.6,1981.0,3.0,2.0,0.0,10,61.0,Monday,Spring,1.0,0.0,0.0,1.0,17.84,17.63,2.05,2.63,0.8,4.2,17.8,21.2,17.5,14.4,21.2,15.4
1981-03-03,17.0,1981.0,3.0,3.0,1.0,10,62.0,Tuesday,Spring,1.0,0.0,0.78,0.62,18.21,17.69,1.47,2.59,-1.6,2.6,18.6,17.8,21.2,14.4,18.4,15.3
1981-03-04,16.0,1981.0,3.0,4.0,2.0,10,63.0,Wednesday,Spring,1.0,0.0,0.97,-0.22,17.86,17.6,1.68,2.6,-1.0,-2.5,17.0,18.6,17.8,18.5,16.6,18.8
1981-03-05,13.3,1981.0,3.0,5.0,3.0,10,64.0,Thursday,Spring,1.0,0.0,0.43,-0.9,17.34,17.31,2.41,2.58,-2.7,-3.6,16.0,17.0,18.6,16.9,16.1,21.9
1981-03-06,14.3,1981.0,3.0,6.0,4.0,10,65.0,Friday,Spring,1.0,0.0,-0.43,-0.9,16.89,17.12,2.67,2.59,1.0,-3.2,13.3,16.0,17.0,17.5,15.7,19.9
1981-03-07,11.4,1981.0,3.0,7.0,5.0,10,66.0,Saturday,Spring,1.0,0.0,-0.97,-0.22,15.49,16.95,2.6,2.8,-2.9,-9.6,14.3,13.3,16.0,21.2,16.6,16.6
1981-03-08,16.3,1981.0,3.0,8.0,6.0,10,67.0,Sunday,Spring,1.0,0.0,-0.78,0.62,15.27,16.93,2.43,2.8,4.9,-1.5,11.4,14.3,13.3,17.8,16.5,16.8
1981-03-09,16.1,1981.0,3.0,9.0,0.0,11,68.0,Monday,Spring,1.0,0.0,0.0,1.0,14.91,16.98,2.01,2.77,-0.2,-2.5,16.3,11.4,14.3,18.6,14.4,14.6
1981-03-10,11.8,1981.0,3.0,10.0,1.0,11,69.0,Tuesday,Spring,1.0,0.0,0.78,0.62,14.17,16.8,2.07,2.92,-4.3,-5.2,16.1,16.3,11.4,17.0,14.4,17.1
1981-03-11,12.2,1981.0,3.0,11.0,2.0,11,70.0,Wednesday,Spring,1.0,0.0,0.97,-0.22,13.63,16.46,2.01,2.83,0.4,-3.8,11.8,16.1,16.3,16.0,18.5,22.299999999999997
1981-03-12,14.7,1981.0,3.0,12.0,3.0,11,71.0,Thursday,Spring,1.0,0.0,0.43,-0.9,13.83,16.45,2.04,2.84,2.5,1.4,12.2,11.8,16.1,13.3,16.9,15.0
1981-03-13,11.8,1981.0,3.0,13.0,4.0,11,72.0,Friday,Spring,1.0,0.0,-0.43,-0.9,13.47,16.39,2.16,2.92,-2.9,-2.5,14.7,12.2,11.8,14.3,17.5,13.7
1981-03-14,11.3,1981.0,3.0,14.0,5.0,11,73.0,Saturday,Spring,1.0,0.0,-0.97,-0.22,13.46,16.3,2.17,3.03,-0.5,-0.1,11.8,14.7,12.2,11.4,21.2,13.9
1981-03-15,10.6,1981.0,3.0,15.0,6.0,11,74.0,Sunday,Spring,1.0,0.0,-0.78,0.62,12.64,16.04,1.99,3.18,-0.7,-5.7,11.3,11.8,14.7,16.3,17.8,18.3
1981-03-16,11.7,1981.0,3.0,16.0,0.0,12,75.0,Monday,Spring,1.0,0.0,0.0,1.0,12.01,15.7,1.29,3.07,1.1,-4.4,10.6,11.3,11.8,16.1,18.6,22.0
1981-03-17,14.2,1981.0,3.0,17.0,1.0,12,76.0,Tuesday,Spring,1.0,0.0,0.78,0.62,12.36,15.44,1.52,2.83,2.5,2.4,11.7,10.6,11.3,11.8,17.0,22.1
1981-03-18,11.2,1981.0,3.0,18.0,2.0,12,77.0,Wednesday,Spring,1.0,0.0,0.97,-0.22,12.21,15.1,1.58,2.72,-3.0,-1.0,14.2,11.7,10.6,12.2,16.0,21.2
1981-03-19,16.9,1981.0,3.0,19.0,3.0,12,78.0,Thursday,Spring,1.0,0.0,0.43,-0.9,12.53,15.05,2.24,2.67,5.7,2.2,11.2,14.2,11.7,14.7,13.3,18.4
1981-03-20,16.7,1981.0,3.0,20.0,4.0,12,79.0,Friday,Spring,1.0,0.0,-0.43,-0.9,13.23,15.06,2.69,2.67,-0.2,4.9,16.9,11.2,14.2,11.8,14.3,16.6
1981-03-21,8.1,1981.0,3.0,21.0,5.0,12,80.0,Saturday,Spring,1.0,0.0,-0.97,-0.22,12.77,14.79,3.28,2.95,-6.8,-3.2,16.7,16.9,11.2,11.3,11.4,16.1
1981-03-22,8.0,1981.0,3.0,22.0,6.0,12,81.0,Sunday,Spring,1.0,0.0,-0.78,0.62,12.4,14.53,3.69,3.19,-0.1,-2.6,8.1,16.7,16.9,10.6,16.3,15.7
1981-03-23,8.8,1981.0,3.0,23.0,0.0,13,82.0,Monday,Spring,1.0,0.0,0.0,1.0,11.99,14.27,3.94,3.33,0.8,-2.9,8.0,8.1,16.7,11.7,16.1,16.6
1981-03-24,13.4,1981.0,3.0,24.0,1.0,13,83.0,Tuesday,Spring,1.0,0.0,0.78,0.62,11.87,14.17,3.87,3.31,4.6,-0.8,8.8,8.0,8.1,14.2,11.8,16.5
1981-03-25,10.9,1981.0,3.0,25.0,2.0,13,84.0,Wednesday,Spring,1.0,0.0,0.97,-0.22,11.83,14.05,3.88,3.36,-2.5,-0.3,13.4,8.8,8.0,11.2,12.2,14.4
1981-03-26,13.4,1981.0,3.0,26.0,3.0,13,85.0,Thursday,Spring,1.0,0.0,0.43,-0.9,11.33,14.02,3.3,3.36,2.5,-3.5,10.9,13.4,8.8,16.9,14.7,14.4
1981-03-27,11.0,1981.0,3.0,27.0,4.0,13,86.0,Friday,Spring,1.0,0.0,-0.43,-0.9,10.51,13.77,2.31,3.3,-2.4,-5.7,13.4,10.9,13.4,16.7,11.8,18.5
1981-03-28,15.0,1981.0,3.0,28.0,5.0,13,87.0,Saturday,Spring,1.0,0.0,-0.97,-0.22,11.5,13.71,2.57,3.25,4.0,6.9,11.0,13.4,10.9,8.1,11.3,16.9
1981-03-29,15.7,1981.0,3.0,29.0,6.0,13,88.0,Sunday,Spring,1.0,0.0,-0.78,0.62,12.6,13.65,2.47,3.19,0.7,7.7,15.0,11.0,13.4,8.0,10.6,17.5
1981-03-30,14.5,1981.0,3.0,30.0,0.0,14,89.0,Monday,Spring,1.0,0.0,0.0,1.0,13.41,13.42,1.87,2.87,-1.2,5.7,15.7,15.0,11.0,8.8,11.7,21.2
1981-03-31,15.8,1981.0,3.0,31.0,1.0,14,90.0,Tuesday,Spring,1.0,0.0,0.78,0.62,13.76,13.36,2.08,2.78,1.3,2.4,14.5,15.7,15.0,13.4,14.2,17.8
1981-04-01,16.7,1981.0,4.0,1.0,2.0,14,91.0,Wednesday,Spring,0.87,-0.5,0.97,-0.22,14.59,13.29,1.9,2.68,0.9,5.8,15.8,14.5,15.7,10.9,11.2,18.6
1981-04-02,16.8,1981.0,4.0,2.0,3.0,14,92.0,Thursday,Spring,0.87,-0.5,0.43,-0.9,15.07,13.29,1.98,2.67,0.1,3.4,16.7,15.8,14.5,13.4,16.9,17.0
1981-04-03,17.5,1981.0,4.0,3.0,4.0,14,93.0,Friday,Spring,0.87,-0.5,-0.43,-0.9,16.0,13.34,1.06,2.73,0.7,6.5,16.8,16.7,15.8,11.0,16.7,16.0
1981-04-04,17.1,1981.0,4.0,4.0,5.0,14,94.0,Saturday,Spring,0.87,-0.5,-0.97,-0.22,16.3,13.46,1.03,2.82,-0.4,2.1,17.5,16.8,16.7,15.0,8.1,13.3
1981-04-05,18.1,1981.0,4.0,5.0,6.0,14,95.0,Sunday,Spring,0.87,-0.5,-0.78,0.62,16.64,13.59,1.18,2.94,1.0,2.4,17.1,17.5,16.8,15.7,8.0,14.3
1981-04-06,16.6,1981.0,4.0,6.0,0.0,15,96.0,Monday,Spring,0.87,-0.5,0.0,1.0,16.94,13.76,0.73,2.96,-1.5,2.1,18.1,17.1,17.5,14.5,8.8,11.4
1981-04-07,10.0,1981.0,4.0,7.0,1.0,15,97.0,Tuesday,Spring,0.87,-0.5,0.78,0.62,16.11,13.55,2.75,3.0,-6.6,-5.8,16.6,18.1,17.1,15.8,13.4,16.3
1981-04-08,14.9,1981.0,4.0,8.0,2.0,15,98.0,Wednesday,Spring,0.87,-0.5,0.97,-0.22,15.86,13.51,2.77,2.97,4.9,-1.8,10.0,16.6,18.1,16.7,10.9,16.1
1981-04-09,15.9,1981.0,4.0,9.0,3.0,15,99.0,Thursday,Spring,0.87,-0.5,0.43,-0.9,15.73,13.65,2.74,2.98,1.0,-0.9,14.9,10.0,16.6,16.8,13.4,11.8
1981-04-10,13.0,1981.0,4.0,10.0,4.0,15,100.0,Friday,Spring,0.87,-0.5,-0.43,-0.9,15.09,13.68,2.78,2.97,-2.9,-4.5,15.9,14.9,10.0,17.5,11.0,12.2
1981-04-11,7.6,1981.0,4.0,11.0,5.0,15,101.0,Saturday,Spring,0.87,-0.5,-0.97,-0.22,13.73,13.44,3.77,3.17,-5.4,-9.5,13.0,15.9,14.9,17.1,15.0,14.7
1981-04-12,11.5,1981.0,4.0,12.0,6.0,15,102.0,Sunday,Spring,0.87,-0.5,-0.78,0.62,12.79,13.43,3.29,3.17,3.9,-6.6,7.6,13.0,15.9,18.1,15.7,11.8
1981-04-13,13.5,1981.0,4.0,13.0,0.0,16,103.0,Monday,Spring,0.87,-0.5,0.0,1.0,12.34,13.5,2.88,3.15,2.0,-3.1,11.5,7.6,13.0,16.6,14.5,11.3
1981-04-14,13.0,1981.0,4.0,14.0,1.0,16,104.0,Tuesday,Spring,0.87,-0.5,0.78,0.62,12.77,13.58,2.69,3.1,-0.5,3.0,13.5,11.5,7.6,10.0,15.8,10.6
1981-04-15,13.3,1981.0,4.0,15.0,2.0,16,105.0,Wednesday,Spring,0.87,-0.5,0.97,-0.22,12.54,13.64,2.54,3.08,0.3,-1.6,13.0,13.5,11.5,14.9,16.7,11.7
1981-04-16,12.1,1981.0,4.0,16.0,3.0,16,106.0,Thursday,Spring,0.87,-0.5,0.43,-0.9,12.0,13.57,2.06,3.09,-1.2,-3.8,13.3,13.0,13.5,15.9,16.8,14.2
1981-04-17,12.4,1981.0,4.0,17.0,4.0,16,107.0,Friday,Spring,0.87,-0.5,-0.43,-0.9,11.91,13.61,2.03,3.07,0.3,-0.6,12.1,13.3,13.0,13.0,17.5,11.2
1981-04-18,13.2,1981.0,4.0,18.0,5.0,16,108.0,Saturday,Spring,0.87,-0.5,-0.97,-0.22,12.71,13.48,0.73,3.0,0.8,5.6,12.4,12.1,13.3,7.6,17.1,16.9
1981-04-19,13.8,1981.0,4.0,19.0,6.0,16,109.0,Sunday,Spring,0.87,-0.5,-0.78,0.62,13.04,13.39,0.6,2.94,0.6,2.3,13.2,12.4,12.1,11.5,18.1,16.7
1981-04-20,10.6,1981.0,4.0,20.0,0.0,17,110.0,Monday,Spring,0.87,-0.5,0.0,1.0,12.63,13.47,1.06,2.82,-3.2,-2.9,13.8,13.2,12.4,13.5,16.6,8.1
1981-04-21,9.0,1981.0,4.0,21.0,1.0,17,111.0,Tuesday,Spring,0.87,-0.5,0.78,0.62,12.06,13.5,1.71,2.76,-1.6,-4.0,10.6,13.8,13.2,13.0,10.0,8.0
1981-04-22,10.0,1981.0,4.0,22.0,2.0,17,112.0,Wednesday,Spring,0.87,-0.5,0.97,-0.22,11.59,13.54,1.76,2.7,1.0,-3.3,9.0,10.6,13.8,13.3,14.9,8.8
1981-04-23,9.8,1981.0,4.0,23.0,3.0,17,113.0,Thursday,Spring,0.87,-0.5,0.43,-0.9,11.26,13.42,1.86,2.78,-0.2,-2.3,10.0,9.0,10.6,12.1,15.9,13.4
1981-04-24,11.5,1981.0,4.0,24.0,4.0,17,114.0,Friday,Spring,0.87,-0.5,-0.43,-0.9,11.13,13.44,1.8,2.76,1.7,-0.9,9.8,10.0,9.0,12.4,13.0,10.9
1981-04-25,8.9,1981.0,4.0,25.0,5.0,17,115.0,Saturday,Spring,0.87,-0.5,-0.97,-0.22,10.51,13.29,1.71,2.89,-2.6,-4.3,11.5,9.8,10.0,13.2,7.6,13.4
1981-04-26,7.4,1981.0,4.0,26.0,6.0,17,116.0,Sunday,Spring,0.87,-0.5,-0.78,0.62,9.6,13.17,1.32,3.06,-1.5,-6.4,8.9,11.5,9.8,13.8,11.5,11.0
1981-04-27,9.9,1981.0,4.0,27.0,0.0,18,117.0,Monday,Spring,0.87,-0.5,0.0,1.0,9.5,13.0,1.26,3.09,2.5,-0.7,7.4,8.9,11.5,10.6,13.5,15.0
1981-04-28,9.3,1981.0,4.0,28.0,1.0,18,118.0,Tuesday,Spring,0.87,-0.5,0.78,0.62,9.54,12.79,1.24,3.12,-0.6,0.3,9.9,7.4,8.9,9.0,13.0,15.7
1981-04-29,9.9,1981.0,4.0,29.0,2.0,18,119.0,Wednesday,Spring,0.87,-0.5,0.97,-0.22,9.53,12.64,1.24,3.15,0.6,-0.1,9.3,9.9,7.4,10.0,13.3,14.5
1981-04-30,7.4,1981.0,4.0,30.0,3.0,18,120.0,Thursday,Spring,0.87,-0.5,0.43,-0.9,9.19,12.36,1.46,3.23,-2.5,-2.4,9.9,9.3,9.9,9.8,12.1,15.8
1981-05-01,8.6,1981.0,5.0,1.0,4.0,18,121.0,Friday,Spring,0.5,-0.87,-0.43,-0.9,8.77,12.09,1.05,3.19,1.2,-2.9,7.4,9.9,9.3,11.5,12.4,16.7
1981-05-02,11.9,1981.0,5.0,2.0,5.0,18,122.0,Saturday,Spring,0.5,-0.87,-0.97,-0.22,9.2,11.92,1.59,3.06,3.3,3.0,8.6,7.4,9.9,8.9,13.2,16.8
